year,college_code,college_name,branch_code,branch_name,district,college_type,category,cutoff,category_display
2022,1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur District 601206",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Thiruvallur,Private,OC,157.0,OC
2022,1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai 600089",CS,COMPUTER SCIENCE AND ENGINEERING,Chennai,Private,OC,148.5,OC
2022,1306,"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",CS,COMPUTER SCIENCE AND ENGINEERING,Chennai,Private,OC,133.0,OC
2022,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Chengalpattu,Private,OC,163.0,OC
2022,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",IT,INFORMATION TECHNOLOGY,Chengalpattu,Private,OC,175.0,OC
2022,1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Chennai,Private,OC,163.5,OC
2022,1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",CS,COMPUTER SCIENCE AND ENGINEERING,Chennai,Private,OC,122.5,OC
2022,1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",SC,Computer Science and Engineering (Cyber Security),Chennai,Private,OC,133.0,OC
2022,1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319",IT,INFORMATION TECHNOLOGY,Chengalpattu,Private,OC,131.5,OC
2022,1412,"Mailam Engineering College, Mailam, Villupuram District 604304",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Villupuram,Private,OC,121.0,OC
2022,1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",IT,INFORMATION TECHNOLOGY,Chennai,Private,OC,132.5,OC
2022,1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Chennai,Private,OC,171.0,OC
2022,1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",CS,COMPUTER SCIENCE AND ENGINEERING,Chennai,Private,OC,124.5,OC
2022,1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Chennai,Private,OC,114.0,OC
2022,1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301",FT,FASHION TECHNOLOGY,Chennai,Private,OC,124.5,OC
2022,1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi District 606201",CE,CIVIL ENGINEERING,Kallakurichi,Private,OC,97.0,OC
2022,1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi District 606201",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Kallakurichi,Private,OC,113.0,OC
2022,1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652",ME,MECHANICAL ENGINEERING,Villupuram,Private,OC,106.0,OC
2022,1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,Kallakurichi,Private,OC,126.0,OC
2022,1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",ME,MECHANICAL ENGINEERING,Kallakurichi,Private,OC,134.0,OC
2022,1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur, Tindivanam Taluk, Villupuram District 604307",ME,MECHANICAL ENGINEERING,Villupuram,Private,OC,124.5,OC
2022,1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034",CS,COMPUTER SCIENCE AND ENGINEERING,Chennai,Private,OC,137.0,OC
2022,1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751",CS,COMPUTER SCIENCE AND ENGINEERING,Thiruppattur,Private,OC,135.0,OC
2022,1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751",ME,MECHANICAL ENGINEERING,Thiruppattur,Private,OC,124.0,OC
2022,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",CE,CIVIL ENGINEERING,Vellore,Government,OC,105.5,OC
2022,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",CS,COMPUTER SCIENCE AND ENGINEERING,Vellore,Government,OC,167.0,OC
2022,1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District 631551",CS,COMPUTER SCIENCE AND ENGINEERING,Kancheepuram,Private,OC,111.5,OC
2022,1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi, Thiruvannamalai District 604505",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,Thiruvannamalai,Private,OC,115.0,OC
2022,1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi, Thiruvannamalai District 604505",ME,MECHANICAL ENGINEERING,Thiruvannamalai,Private,OC,111.5,OC
2022,1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District 635854",CE,CIVIL ENGINEERING,Thiruppathur,Private,OC,112.0,OC
