college_code,college_name,district,college_type,annual_fees
2704,"Coimbatore Institute of Engineering and Technolgoy (Autonomous), Narasipuram Post, Coimbatore District 641109",Coimbatore,Private,90000
2706,"Dr. Mahalingam College of Engineering and Technology (Autonomous), Mackinaickenpatti Post, Pollachi Taluk, Coimbatore District 642003",Coimbatore,Private,90000
2707,"Erode Sengunthar Engineering College (Autonomous), Thudupathi Post, Erode District 638057",Erode,Private,70000
2708,"Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam Post, Coimbatore District 641032",Coimbatore,Private,90000
2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology), Vasavi College Post, Erode District 638316",Erode,Government,50000
2710,"Karpagam College of Engineering (Autonomous), Othakkalmandapam, Coimbatore District 641032",Coimbatore,Private,90000
2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",Erode,Private,70000
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",Coimbatore,Private,90000
2713,"M P Nachimuthu M Jaganathan Engineering College, Chennimalai, Erode District 638112",Erode,Private,70000
2715,"Nandha Engineering College (Autonomous), Pitchandampalayam Post, Erode District 638052",Erode,Private,70000
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District 641008",Coimbatore,Private,90000
2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, Coimbatore District 641022",Coimbatore,Private,90000
2721,"Tamilnadu College of Engineering, Karumathampatti Post, Coimbatore District 641659",Coimbatore,Private,90000
2722,"Sri Krishna College of Technology (Autonomous) , Kovaipudur Post, Coimbatore District 641042",Coimbatore,Private,90000
2723,"Velalar College of Engineering and Technology (Autonomous), Thindal Post, Erode District 638012",Erode,Private,70000
2725,"Sri Ramakrishna Institute of Technology (Autonomous), Pachapalayam, Coimbatore District 641010",Coimbatore,Private,90000
2726,"SNS College of Technology (Autonomous), Kalappatti Post, Coimbatore District 641035",Coimbatore,Private,90000
2727,"Sri Shakthi Institute of Engineering and Technology (Autonomous), L&T Bye-Pass, Venkitapuram Post, Comibatore District 641062",Comibatore,Private,70000
2729,"Nehru Institute of Engineering and Technology, Thirumalayampalayam Post, Coimbatore District 641105",Coimbatore,Private,90000
2731,"R V S College of Engineering and Technology, Kannampalayam, Sulur, Coimbatore District 641402",Coimbatore,Private,90000
2735,"Karpagam Institute of Technology, Seerapalayam Village, L&T By pass Road, Coimbatore District 641021",Coimbatore,Private,90000
2736,"Dr. N G P Institute of Technology, Kalapatti Road, Coimbatore District 641035",Coimbatore,Private,90000
2737,"Sri Sai Ranganathan Engineering College, Zahirnaickenpalayam Village, Viraliyur Post, Thondamuthur Via, Coimbatore District 641109",Coimbatore,Private,90000
2739,"Sri Eshwar College of Engineering (Autonomous), Kondampatti Post, Vadasithur (Via), Kinathukadavu, Coimbatore District 641202",Coimbatore,Private,90000
2741,"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore District 642002",Coimbatore,Private,90000
2743,"Dhanalakshmi Srinivasan College of Engineering (CBE), NH47, Palakkad Main Road, Navakkarai Post, Near Nandhi Temple, Coimbatore District 641105",Coimbatore,Private,90000
2745,"Kathir College of Engineering, Neelambur, Avinashi Road, Coimbatore District 641062",Coimbatore,Private,90000
2747,"Shree Venkateshwara Hi-Tech Engineering College, Othakuthirai, K Mettupalayam Post, Gobichettipalayam, Erode District 638455",Erode,Private,70000
2748,"Surya Engineering College, Mettukadai, Kathirampatti Post, Erode District 638107",Erode,Private,70000
2749,"Easa College of Engineering and Technology, NH- 47, Coimbatore-Palakkad Main Road, Navakarai Post, Coimbatore District 641105",Coimbatore,Private,90000
2750,"KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam, Coimbatore District 641402",Coimbatore,Private,90000
2751,"KGISL Institute of Technology, KGISL Campus, Thudiyalur Road, Saravanampatti, Coimbatore District 641035",Coimbatore,Private,90000
2752,"Nandha College of Technology, Pitchandampalayam Post, Erode District 638052",Erode,Private,70000
2753,"PPG Institute of Technology, Vilankurichi Village, Coimbatore District 641035",Coimbatore,Private,90000
2758,"J K K Munirajah College of Technology, T N Palayam, Gobi Taluk, Erode District 638506",Erode,Private,70000
2761,"United Institute of Technology, Gadalore Village, Perianaickenpalayam, Coimbatore District 641020",Coimbatore,Government,50000
2762,"Jansons Institute of Technology, Karumathampatty, Somaur, Coimbatore District 641659",Coimbatore,Private,90000
2764,"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",Coimbatore,Private,90000
2770,"Studyworld College of Engineering, Madukarai Post, Coimbatore - 641 105.",Coimbatore,Private,90000
2772,"C M S College of Engineering and Technology, Appachigoundenpathy, Kumittipathi Post, Coimbatore District 641032",Coimbatore,Private,90000
2776,"R V S Technical Campus-Coimbatore, Kumaran Kottam Campus, Kannampalayam, Sulur, Coimbatore District 641 402",Coimbatore,Private,90000
3011,"University College of Engineering, Tiruchirappalli, (Bharathidasan Institute of Technology), Tiruchirappalli District 620024",Tiruchirappalli,Private,90000
3016,"University College of Engineering, Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur District 621704",Ariyalur,Private,70000
3018,"University College of Engineering, Thirukkuvalai, Nagappattinam District 610204",Nagappattinam,Private,70000
3019,"University College of Engineering, Panruti, Chennai- Kumbakonam Highway, Panikkankuppam, Panruti, Cuddalore District 607106",Cuddalore,Private,70000
3021,"University College of Engineering, Pattukkottai, ECR Road, Rajamadam, Pattukkottai Taluk, Thanjavur District 614701",Thanjavur,Private,70000
3410,"Krishnasamy College of Engineering and Technology, S Kumarapuram, Cuddalore District 607109",Cuddalore,Private,70000
3425,"C K College of Engineering and Technology, Chellangkuppam, Cuddalore District 607003",Cuddalore,Private,70000
3454,"Sri Ramakrishna College of Engineering, Sri Saradha Nagar, NH-45, Perambalur District 621113",Perambalur,Private,70000
3456,"K S K College of Engineering and Technology, Thanjavur Main Road, Darasuram, Kumbakonam, Thanjavur District 612702",Thanjavur,Private,70000
3461,"Arifa Institute of Technology(Formly Haji sheik Ismail Engineering College), Esanoor, Keelaiyur Post, Thirukkuvalai Taluk, Nagapattinam District 611103",Nagapattinam,Private,70000
3462,"Ariyalur Engineering College, NH-227, Trichy- Chithambaram NH, Karuppur-Senapathy Post, Ariyalur District 621707",Ariyalur,Private,70000
3464,"Government College of Engineering, Gandarvakottai Road, Sengipatti, Thanjavur District 613402",Thanjavur,Government,50000
3465,"Government College of Engineering, Srirangam, Sethurappatti, Tiruchirappalli District 620012",Tiruchirappalli,Government,50000
3466,"Nelliandavar Institute of Technology, Nerunjikorai Village, Pudhupalayam, Ariyalur Taluk, Ariyalur District 621704",Ariyalur,Private,70000
3760,"Sir Issac Newton College of Engineering and Technology, Anthanapeetai Post, Papakoil, Nagappattinam District 611102",Nagappattinam,Private,70000
3766,"Star Lion College of Engineering and Technology, Manankorai Main Road, Manankorai Village, Thanjavur District 614206",Thanjavur,Private,70000
3786,"M.A.M. School of Engineering, Siruganur, Tiruchirappalli District 621105",Tiruchirappalli,Private,90000
3801,"A V C College of Engineering, Mannampandal Post, MayiladuthuraiDistrict 609305",Tamil Nadu,Private,70000
3804,"Arasu Engineering College, Chennai Main Road, Kumbakonam, Thanjavur District 612501",Thanjavur,Private,70000
3805,"Dhanalakshmi Srinivasan Engineering College (Autonomous), Thuraiyur Road, Perambalur District 621212",Perambalur,Private,70000
3806,"E G S Pillay Engineering College (Autonomous), Nagapattinam District 611002",Nagapattinam,Private,70000
3810,"M.A.M. College of Engineering, Siruganur, Tiruchirappalli District 621105",Tiruchirappalli,Private,90000
3813,"Oxford Engineering College,Karumandapam,Pirattiyur,Trichy-620 009",Tiruchirappalli,Private,90000
3815,"Pavendar Bharathidasan College of Engineering and Technology, Pudukkottai Main Road, Tiruchirappalli District 622515",Tiruchirappalli,Private,90000
3817,"Roever Engineering College, Elambalur, Perambalur District 621212",Perambalur,Private,70000
3819,"Saranathan College of Engineering, Panjappur, Tiruchirappalli District 620012",Tiruchirappalli,Private,90000
3821,"A R J College of Engineering and Technology, Mannargudi Taluk, Thiruvarur District 614001",Thiruvarur,Private,70000
3825,"St. Joseph's College of Engineering and Technology, Elupatti Village, Rawaspatti Post, Thanjavur District 613403",Thanjavur,Private,70000
3826,"Kongunadu College of Engineering and Technology (Autonomous), Tholurpatti, Thottiyam, Tiruchirappalli District 621215",Tiruchirappalli,Private,90000
3829,"M.A.M. College of Engineering and Technology, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli District 621105",Tiruchirappalli,Private,90000
3843,"M R K Institute of Technology, Nattarmangalam Village, Kattumannarkoil, Cuddalore District 608306",Cuddalore,Private,70000
3844,"Shivani Engineering College, Trichy-Dindigul NH Road, Poolangulathupatti, Tiruchirappalli - 620009",Tiruchirappalli,Private,90000
3846,"Mother Terasa College of Engineering and Technology, Mettusalai Post and Taluk, Pudukkottai District 622102",Pudukkottai,Private,70000
3849,"Annai College of Engineering and Technology, Anakudi Road, Kovilacheri, Kumbakonam, Thanjavur District 612503",Thanjavur,Private,70000
3854,"Mahath Amma Institute of Engineering and Technology (MIET), Ariyur, Annavasal Road, Illupur Taluk, Pudukkottai District 622101",Pudukkottai,Private,70000
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi, Aduthurai, Thiruvidaimaruthur, Thanjavur District 612102",Thanjavur,Private,70000
3857,"Meenakshi Ramaswamy Engineering College, Trichy Main Road, Thathanur, Udayarpalayam, Ariyalur District 621804",Ariyalur,Private,70000
3860,"St. Anne's College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti, Cuddalore District 607110",Cuddalore,Private,70000
3905,"Kings College of Engineering, Punalkulam, Pudukkottai District 613303",Pudukkottai,Private,70000
3918,"Shanmuganathan Engineering College, Pillivalam Post, Pudukkottai District 622507",Pudukkottai,Private,70000
3920,"Sudharsan Engineering College, Sathiyamangalam Post, Pudukkottai District 622501",Pudukkottai,Private,70000
3926,"Chendhuran College of Engineering and Technology, Madurai Road, Lenavilakku, Pilivalam Post, Pudukkottai - 622 507",Madurai,Private,90000
4020,"Anna University Regional Campus - Tirunelveli, Trivandrum Road, Palayamkottai, Tirunelveli District 627007",Tirunelveli,Government,50000
4023,"University College of Engineering, Nagercoil, Nagercoil Industrial Estate, Konam, Kanyakumari District 629004",Kanyakumari,Private,70000
4024,"University V.O.C. College of Engineering, Thoothukudi, Near V.O.C. College, Millerpuram, Thoothukudi District 628008",Thoothukudi,Private,70000
4669,"Thamirabharani Engineering College, Chathirampudukulam Village, Thatchanallur, Tirunelveli District 627358",Tirunelveli,Private,70000
4670,"Rohini College of Engineering & Technology, Anjugramam-Kanyakumari Main Road, Palkulam, Variyoor Post, Kanyakumari District 629401",Kanyakumari,Private,70000
